,date,precipitation,snow,snow_depth,max_temp,min_temp,avg_daily_wind_speed,avg_relative_humidity,avg_daily_temp,year,month,day,dayof,precip_z,snow_z,maxt_z,mint_z,ws_z,dt_z,score1,score2,score3
0,1974-12-01,0.14,1.3,0.0,36.0,33.0,,,,1974,12,1,12-1,0.0007135029777623963,2.7596816588445,-1.1481227883017862,0.14719817875641603,,,1.67,2.0,4.0
1,1974-12-02,0.04,0.31,0.0,35.0,34.0,,,,1974,12,2,12-2,-0.2743815340039567,0.5465697969315388,-1.2282062204528497,0.23328155062731226,,,3.34,4.0,6.0
2,1974-12-03,0.0,0.0,0.0,45.0,27.0,,,,1974,12,3,12-3,-0.38441954879664436,-0.146424826495752,-0.42737189894221433,-0.3693020524689613,,,3.34,4.0,8.0
3,1974-12-04,0.0,0.0,0.0,46.0,26.0,,,,1974,12,4,12-4,-0.38441954879664436,-0.146424826495752,-0.34728846679115083,-0.4553854243398575,,,3.34,4.0,8.0
4,1974-12-05,0.0,0.0,0.0,53.0,22.0,,,,1974,12,5,12-5,-0.38441954879664436,-0.146424826495752,0.21329555826629396,-0.7997189118234425,,,5.01,6.0,6.0
5,1974-12-06,0.0,0.0,0.0,54.0,29.0,,,,1974,12,6,12-6,-0.38441954879664436,-0.146424826495752,0.2933789904173575,-0.19713530872716886,,,5.01,6.0,8.0
6,1974-12-07,0.74,0.0,0.0,51.0,46.0,,,,1974,12,7,12-7,1.651283724868077,-0.146424826495752,0.05312869396416687,1.266282013078067,,,5.01,6.0,6.0
7,1974-12-08,0.01,0.0,0.0,49.0,33.0,,,,1974,12,8,12-8,-0.3569100450984724,-0.146424826495752,-0.1070381703379602,0.14719817875641603,,,5.01,6.0,8.0
8,1974-12-09,0.0,0.0,0.0,38.0,23.0,,,,1974,12,9,12-9,-0.38441954879664436,-0.146424826495752,-0.9879559239996591,-0.7136355399525461,,,3.34,4.0,4.0
9,1974-12-10,0.0,0.0,0.0,52.0,22.0,,,,1974,12,10,12-10,-0.38441954879664436,-0.146424826495752,0.1332121261152304,-0.7997189118234425,,,5.01,6.0,6.0
10,1974-12-11,0.1,0.0,0.0,48.0,31.0,,,,1974,12,11,12-11,-0.10932451181492525,-0.146424826495752,-0.18712160248902374,-0.024968564985376408,,,3.34,4.0,8.0
11,1974-12-12,0.0,0.0,0.0,45.0,41.0,,,,1974,12,12,12-12,-0.38441954879664436,-0.146424826495752,-0.42737189894221433,0.8358651537235858,,,5.01,6.0,8.0
12,1974-12-13,0.0,0.0,0.0,52.0,37.0,,,,1974,12,13,12-13,-0.38441954879664436,-0.146424826495752,0.1332121261152304,0.49153166624000094,,,6.68,8.0,8.0
13,1974-12-14,0.0,0.0,0.0,57.0,31.0,,,,1974,12,14,12-14,-0.38441954879664436,-0.146424826495752,0.5336292868705481,-0.024968564985376408,,,5.01,6.0,8.0
